case,mu_a,mu_s,,mu_t,albedo,mfp,mu_eff,,,resolution,tau,omega,sink,,,,minkTauEins=x*MC,minkTauEins*x = MC
1,1.8,0.2,,2,0.1,0.5000,3.2863,,0.092325804399008,50,33.833333,0.029557,0.036,,d,,0.706520,1.41538871085275
2,1.2,0.8,,2,0.4,0.5000,2.6833,,0.124817236503229,InvCs^2,33.833333,0.029557,0.024,,,,0.683867,1.4622717834963
3,0.6,1.4,,2,0.7,0.5000,1.8974,,0.184898688964085,4,33.833333,0.029557,0.012,,,,0.658591,1.51839411540558
4,0.2,1.8,,2,0.9,0.5000,1.0954,,0.276101565343406,,33.833333,0.029557,0.004,,,,0.640423,1.56146855325779
5,0,2,,2,1,0.5000,0.0000,,0.477465232573315,,33.833333,0.029557,0.000,,,,0.629891,1.5875750384159
6,3.6,0.4,,4,0.1,0.2500,6.5727,,0.184651608798015,"D_macro(tau) akkurat, t<10, source: ponce davis",17.166667,0.058252,0.072,,,,0.705259,1.41791832394434
7,2.4,1.6,,4,0.4,0.2500,5.3666,,0.249634473006458,,17.166667,0.058252,0.048,,,,0.698465,1.43171163431106
8,1.2,2.8,,4,0.7,0.2500,3.7947,,0.36979737792817,P1 Approx akkurat,17.166667,0.058252,0.024,,,,0.702251,1.42399128082251
9,0.4,3.6,,4,0.9,0.2500,2.1909,,0.552203130686812,,17.166667,0.058252,0.008,,,,0.712415,1.40367641202601
10,0,4,,4,1,0.2500,0.0000,,0.95493046514663,,17.166667,0.058252,0.000,,,,0.715879,1.39688394035614
11,5.4,0.6,,6,0.1,0.1667,9.8590,,0.276977413197023,,11.611111,0.086124,0.108,,,,0.663929,1.50618525945268
12,3.6,2.4,,6,0.4,0.1667,8.0498,,0.374451709509688,,11.611111,0.086124,0.072,,,,0.673645,1.48446188489915
13,1.8,4.2,,6,0.7,0.1667,5.6921,,0.554696066892255,,11.611111,0.086124,0.036,,,,0.727123,1.37528232553178
14,0.6,5.4,,6,0.9,0.1667,3.2863,,0.828304696030217,,11.611111,0.086124,0.012,,,,0.818051,1.22241722368035
15,0,6,,6,1,0.1667,0.0000,,1.43239569771994,,11.611111,0.086124,0.000,,,,0.866423,1.15417052884146
16,7.2,0.8,,8,0.1,0.1250,13.1453,,0.36930321759603,,8.833333,0.113208,0.144,,,,0.612256,1.63330270942628
17,4.8,3.2,,8,0.4,0.1250,10.7331,,0.499268946012917,,8.833333,0.113208,0.096,,,,0.634453,1.57615991493511
18,2.4,5.6,,8,0.7,0.1250,7.5895,,0.73959475585634,,8.833333,0.113208,0.048,,,,0.734633,1.36122371466917
19,0.8,7.2,,8,0.9,0.1250,4.3818,,1.10440626137362,,8.833333,0.113208,0.016,,,,0.936734,1.0675384878332
20,0,8,,8,1,0.1250,0.0000,,1.90986093029326,,8.833333,0.113208,0.000,,,,1.026005,0.974653705408513
21,10.8,1.2,,12,0.1,0.0833,19.7180,,0.553954826394045,,6.055556,0.165138,0.216,,,,0.511821,1.95380765727353
22,7.2,4.8,,12,0.4,0.0833,16.0997,,0.748903419019375,,6.055556,0.165138,0.144,,,,0.547635,1.82603251694362
23,3.6,8.4,,12,0.7,0.0833,11.3842,,1.10939213378451,,6.055556,0.165138,0.072,,,,0.713493,1.40155530805382
24,1.2,10.8,,12,0.9,0.0833,6.5727,,1.65660939206044,,6.055556,0.165138,0.024,,,,1.120257,0.892652468301491
25,0,12,,12,1,0.0833,0.0000,,2.86479139543989,,6.055556,0.165138,0.000,,,,1.218589,0.82062146898194
26,18,2,,20,0.1,0.0500,32.8634,,0.923258043990074,,3.833333,0.260870,0.360,,,,0.357133,2.80007913109145
27,12,8,,20,0.4,0.0500,26.8328,,1.24817236503229,,3.833333,0.260870,0.240,,,,0.402091,2.48699672230958
28,6,14,,20,0.7,0.0500,18.9737,,1.84898688964085,,3.833333,0.260870,0.120,,,,0.607481,1.64614072521888
29,2,18,,20,0.9,0.0500,10.9545,,2.76101565343406,,3.833333,0.260870,0.040,,,,1.223060,0.817621140264266
30,0,20,,20,1,0.0500,0.0000,,4.77465232573315,,3.833333,0.260870,0.000,,,,1.319668,0.757766567478761
31,27,3,,30,0.1,0.0333,49.2950,,1.38488706598511,,2.722222,0.367347,0.540,,,,0.238084,4.20020349487038
32,18,12,,30,0.4,0.0333,40.2492,,1.87225854754844,,2.722222,0.367347,0.360,,,,0.280571,3.56415475338794
33,9,21,,30,0.7,0.0333,28.4605,,2.77348033446127,,2.722222,0.367347,0.180,,,,0.467468,2.13918441935445
34,3,27,,30,0.9,0.0333,16.4317,,4.14152348015109,,2.722222,0.367347,0.060,,,,1.158241,0.863378350295163
35,0,30,,30,1,0.0333,0.0000,,7.16197848859972,,2.722222,0.367347,0.000,,,,1.335504,0.748781056198947
