case,abs501,rel501,absMeso1,relMeso1,totalEnergy,abs501Normiert,rel501Normiert,absMeso1Normiert,relMeso1Normiert
1,6.062880e-02,9.662382e-02,1.132205e-03,2.278096e-03,4.577472e-01,1.324504e-01,2.110855e-01,2.473429e-03,4.976755e-03
2,6.047230e-02,9.348065e-02,1.361756e-03,2.929835e-03,4.974407e-01,1.215668e-01,1.879232e-01,2.737523e-03,5.889817e-03
3,6.052140e-02,9.031495e-02,1.690241e-03,3.744672e-03,5.473083e-01,1.105801e-01,1.650166e-01,3.088279e-03,6.841978e-03
4,6.089510e-02,8.835528e-02,2.074064e-03,4.405281e-03,5.886306e-01,1.034521e-01,1.501031e-01,3.523542e-03,7.483949e-03
5,6.123576e-02,8.737700e-02,2.301472e-03,4.779626e-03,6.133446e-01,9.983907e-02,1.424599e-01,3.752331e-03,7.792725e-03
6,5.390711e-02,9.796822e-02,1.535622e-03,4.484623e-03,2.658827e-01,2.027477e-01,3.684641e-01,5.775563e-03,1.686692e-02
7,5.283165e-02,9.157769e-02,1.725292e-03,5.690016e-03,3.071253e-01,1.720199e-01,2.981770e-01,5.617551e-03,1.852669e-02
8,5.126143e-02,8.383323e-02,2.047834e-03,7.307417e-03,3.672523e-01,1.395810e-01,2.282715e-01,5.576097e-03,1.989754e-02
9,4.998533e-02,7.761015e-02,2.484756e-03,8.508298e-03,4.293736e-01,1.164145e-01,1.807520e-01,5.786932e-03,1.981560e-02
10,4.941146e-02,7.432254e-02,2.868479e-03,9.047409e-03,4.755931e-01,1.038944e-01,1.562734e-01,6.031371e-03,1.902342e-02
11,4.990957e-02,9.972353e-02,1.872457e-03,6.741473e-03,1.812137e-01,2.754182e-01,5.503089e-01,1.033287e-02,3.720177e-02
12,4.891301e-02,9.151552e-02,1.993809e-03,8.486450e-03,2.191259e-01,2.232188e-01,4.176390e-01,9.098920e-03,3.872865e-02
13,4.702324e-02,7.924318e-02,2.338888e-03,1.086608e-02,2.798947e-01,1.680033e-01,2.831178e-01,8.356313e-03,3.882202e-02
14,4.475088e-02,6.560832e-02,2.829813e-03,1.209516e-02,3.533627e-01,1.266429e-01,1.856685e-01,8.008239e-03,3.422873e-02
15,4.319466e-02,5.790778e-02,3.391910e-03,1.181931e-02,4.215003e-01,1.024784e-01,1.373849e-01,8.047232e-03,2.804104e-02
16,4.623832e-02,1.008554e-01,2.137991e-03,9.029610e-03,1.362134e-01,3.394549e-01,7.404215e-01,1.569589e-02,6.629015e-02
17,4.563125e-02,9.217188e-02,2.270411e-03,1.140614e-02,1.702443e-01,2.680339e-01,5.414094e-01,1.333619e-02,6.699866e-02
18,4.384514e-02,7.629252e-02,2.576657e-03,1.468679e-02,2.294157e-01,1.911165e-01,3.325514e-01,1.123139e-02,6.401823e-02
19,4.113622e-02,5.360527e-02,3.156515e-03,1.485199e-02,3.092255e-01,1.330298e-01,1.733533e-01,1.020781e-02,4.802965e-02
20,3.874367e-02,4.235089e-02,3.908678e-03,1.257475e-02,3.992917e-01,9.703100e-02,1.060650e-01,9.789030e-03,3.149265e-02
21,3.987726e-02,1.019040e-01,2.603695e-03,1.376133e-02,9.009495e-02,4.426137e-01,1.131073e+00,2.889946e-02,1.527425e-01
22,3.985100e-02,9.370517e-02,2.691271e-03,1.763518e-02,1.180134e-01,3.376819e-01,7.940213e-01,2.280478e-02,1.494337e-01
23,3.863449e-02,7.419819e-02,2.972464e-03,2.211129e-02,1.720626e-01,2.245375e-01,4.312280e-01,1.727549e-02,1.285073e-01
24,3.568958e-02,3.621178e-02,3.610040e-03,1.749384e-02,2.575690e-01,1.385631e-01,1.405906e-01,1.401581e-02,6.791905e-02
25,3.201461e-02,2.436479e-02,4.788183e-03,1.270588e-02,3.884913e-01,8.240753e-02,6.271643e-02,1.232507e-02,3.270570e-02
26,3.133078e-02,1.028573e-01,3.335369e-03,2.386995e-02,5.252900e-02,5.964473e-01,1.958105e+00,6.349577e-02,4.544146e-01
27,3.157655e-02,9.646133e-02,3.357116e-03,3.204275e-02,7.231029e-02,4.366812e-01,1.333992e+00,4.642654e-02,4.431285e-01
28,3.090628e-02,7.791593e-02,3.494292e-03,3.685246e-02,1.161103e-01,2.661803e-01,6.710508e-01,3.009459e-02,3.173918e-01
29,2.801967e-02,2.493447e-02,4.071867e-03,2.111627e-02,2.011434e-01,1.393019e-01,1.239636e-01,2.024360e-02,1.049812e-01
30,2.245479e-02,1.292317e-02,5.906181e-03,1.299540e-02,3.999298e-01,5.614683e-02,3.231361e-02,1.476804e-02,3.249421e-02
31,2.585637e-02,1.045386e-01,4.046238e-03,3.808669e-02,3.351736e-02,7.714323e-01,3.118938e+00,1.207207e-01,1.136327e+00
32,2.577784e-02,9.948240e-02,4.010484e-03,5.637673e-02,4.742227e-02,5.435808e-01,2.097799e+00,8.456964e-02,1.188824e+00
33,2.493889e-02,8.620044e-02,4.017069e-03,8.708982e-02,8.106022e-02,3.076588e-01,1.063412e+00,4.955660e-02,1.074384e+00
34,2.190551e-02,3.041539e-02,4.374216e-03,2.759896e-02,1.580537e-01,1.385953e-01,1.924370e-01,2.767550e-02,1.746176e-01
35,1.455863e-02,8.151255e-03,6.687575e-03,1.311595e-02,4.195718e-01,3.469880e-02,1.942756e-02,1.593905e-02,3.126033e-02
