case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,absP11,absP12,absP13,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMa2Normalized,absMa3Normalized,absMe1Normalized,absMe2Normalized,absMe3Normalized,absP11Normalized,absP12Normalized,absP13Normalized
1,2,4.756100e-02,7.750202e-03,2.378124e-03,1.095934e-03,1.802276e-05,4.084794e-05,8.910497e-04,5.486430e-05,6.633274e-05,4.399595e-01,1.297339e-03,5.613869e-04,1.081031e-01,5.973922e+00,4.236159e+00,2.490989e-03,1.389210e-02,7.276255e-02,2.025299e-03,4.228987e-02,1.181587e-01
2,2,4.787680e-02,7.892082e-03,2.440013e-03,1.317556e-03,8.554406e-05,1.903997e-04,1.213101e-03,2.492939e-04,3.107045e-04,4.788223e-01,6.733886e-03,3.098460e-03,9.998866e-02,1.171995e+00,7.874922e-01,2.751659e-03,1.270352e-02,6.144978e-02,2.533511e-03,3.702080e-02,1.002771e-01
3,2,4.857537e-02,7.809293e-03,2.361132e-03,1.648913e-03,1.895973e-04,3.971332e-04,1.690133e-03,5.010872e-04,6.188398e-04,5.276764e-01,1.609386e-02,7.947103e-03,9.205523e-02,4.852343e-01,2.971060e-01,3.124857e-03,1.178072e-02,4.997207e-02,3.202973e-03,3.113530e-02,7.786986e-02
4,2,4.949926e-02,7.507202e-03,2.141432e-03,2.026037e-03,2.945460e-04,5.854473e-04,2.352037e-03,7.629652e-04,8.383230e-04,5.682857e-01,2.649231e-02,1.386306e-02,8.710277e-02,2.833729e-01,1.544704e-01,3.565173e-03,1.111817e-02,4.223073e-02,4.138828e-03,2.879950e-02,6.047170e-02
5,2,5.018328e-02,7.229098e-03,1.956521e-03,2.253126e-03,3.686566e-04,7.042171e-04,2.978867e-03,9.931156e-04,9.421330e-04,5.925929e-01,3.390452e-02,1.830018e-02,8.468424e-02,2.132193e-01,1.069126e-01,3.802148e-03,1.087338e-02,3.848142e-02,5.026835e-03,2.929154e-02,5.148216e-02
6,4,3.923235e-02,4.501166e-03,1.030733e-03,1.422311e-03,1.725220e-05,2.322914e-05,1.133417e-03,4.890762e-05,3.789192e-05,2.457601e-01,8.177424e-04,2.752481e-04,1.596367e-01,5.504382e+00,3.744740e+00,5.787393e-03,2.109735e-02,8.439346e-02,4.611882e-03,5.980810e-02,1.376646e-01
7,4,3.860770e-02,5.112224e-03,1.272258e-03,1.593596e-03,8.966193e-05,1.184483e-04,1.453747e-03,2.632572e-04,2.162744e-04,2.852183e-01,4.979487e-03,1.860417e-03,1.353620e-01,1.026657e+00,6.838562e-01,5.587286e-03,1.800626e-02,6.366759e-02,5.096963e-03,5.286834e-02,1.162505e-01
8,4,3.770544e-02,5.676159e-03,1.493516e-03,1.927430e-03,2.313269e-04,2.850593e-04,1.792598e-03,5.747555e-04,5.338762e-04,3.429498e-01,1.501205e-02,6.430938e-03,1.099445e-01,3.781067e-01,2.322392e-01,5.620152e-03,1.540941e-02,4.432624e-02,5.226998e-03,3.828626e-02,8.301685e-02
9,4,3.706007e-02,5.709236e-03,1.422685e-03,2.355417e-03,4.368404e-04,4.924737e-04,3.337171e-03,8.925466e-04,7.699490e-04,4.030970e-01,3.171756e-02,1.534258e-02,9.193835e-02,1.800024e-01,9.272788e-02,5.843301e-03,1.377283e-02,3.209850e-02,8.278828e-03,2.814046e-02,5.018381e-02
10,4,3.697425e-02,5.338214e-03,1.182810e-03,2.731232e-03,6.376949e-04,6.712869e-04,5.410398e-03,1.438934e-03,8.127757e-04,4.481524e-01,4.893671e-02,2.551880e-02,8.250375e-02,1.090841e-01,4.635052e-02,6.094428e-03,1.303101e-02,2.630558e-02,1.207267e-02,2.940397e-02,3.185007e-02
