case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMe1Normalized,absMa2Normalized,absMe2Normalized,absMa3Normalized,absMe3Normalized
1,2,4.642271e-02,6.976213e-03,2.147262e-03,1.095934e-03,1.802276e-05,4.084794e-05,4.399595e-01,1.297339e-03,5.613869e-04,1.055159e-01,2.490989e-03,5.377325e+00,1.389210e-02,3.824923e+00,7.276255e-02
2,2,4.692296e-02,7.061902e-03,2.182356e-03,1.317556e-03,8.554406e-05,1.903997e-04,4.788223e-01,6.733886e-03,3.098460e-03,9.799660e-02,2.751659e-03,1.048711e+00,1.270352e-02,7.043358e-01,6.144978e-02
3,2,4.787620e-02,6.915893e-03,2.073416e-03,1.648913e-03,1.895973e-04,3.971332e-04,5.276764e-01,1.609386e-02,7.947103e-03,9.073024e-02,3.124857e-03,4.297225e-01,1.178072e-02,2.609021e-01,4.997207e-02
4,2,4.902304e-02,6.571797e-03,1.837912e-03,2.026037e-03,2.945460e-04,5.854473e-04,5.682857e-01,2.649231e-02,1.386306e-02,8.626478e-02,3.565173e-03,2.480644e-01,1.111817e-02,1.325762e-01,4.223073e-02
5,2,4.984212e-02,6.277752e-03,1.655848e-03,2.253126e-03,3.686566e-04,7.042171e-04,5.925929e-01,3.390452e-02,1.830018e-02,8.410853e-02,3.802148e-03,1.851598e-01,1.087338e-02,9.048257e-02,3.848142e-02
6,4,3.772217e-02,4.018224e-03,9.250874e-04,1.422311e-03,1.725220e-05,2.322914e-05,2.457601e-01,8.177424e-04,2.752481e-04,1.534918e-01,5.787393e-03,4.913801e+00,2.109735e-02,3.360922e+00,8.439346e-02
7,4,3.717493e-02,4.531100e-03,1.127960e-03,1.593596e-03,8.966193e-05,1.184483e-04,2.852183e-01,4.979487e-03,1.860417e-03,1.303385e-01,5.587286e-03,9.099532e-01,1.800626e-02,6.062944e-01,6.366759e-02
8,4,3.647168e-02,4.952255e-03,1.287304e-03,1.927430e-03,2.313269e-04,2.850593e-04,3.429498e-01,1.501205e-02,6.430938e-03,1.063470e-01,5.620152e-03,3.298852e-01,1.540941e-02,2.001736e-01,4.432624e-02
9,4,3.613527e-02,4.851963e-03,1.162274e-03,2.355417e-03,4.368404e-04,4.924737e-04,4.030970e-01,3.171756e-02,1.534258e-02,8.964409e-02,5.843301e-03,1.529740e-01,1.377283e-02,7.575477e-02,3.209850e-02
10,4,3.633400e-02,4.420411e-03,9.580992e-04,2.731232e-03,6.376949e-04,6.712869e-04,4.481524e-01,4.893671e-02,2.551880e-02,8.107511e-02,6.094428e-03,9.032914e-02,1.303101e-02,3.754483e-02,2.630558e-02
11,6,3.311314e-02,2.181345e-03,3.482456e-04,1.665065e-03,1.391774e-05,1.276742e-05,1.611277e-01,4.680347e-04,1.221973e-04,2.055087e-01,1.033382e-02,4.660647e+00,2.973655e-02,2.849863e+00,1.044820e-01
12,6,3.275193e-02,2.728343e-03,5.080253e-04,1.794665e-03,7.572460e-05,7.036347e-05,1.965075e-01,3.177501e-03,9.449426e-04,1.666702e-01,9.132811e-03,8.586442e-01,2.383149e-02,5.376255e-01,7.446322e-02
13,6,3.169249e-02,3.397250e-03,7.350083e-04,2.127365e-03,2.179886e-04,1.904955e-04,2.538964e-01,1.136700e-02,4.115820e-03,1.248245e-01,8.378870e-03,2.988696e-01,1.917733e-02,1.785812e-01,4.628373e-02
14,6,3.036307e-02,3.613621e-03,7.588745e-04,2.617553e-03,4.794891e-04,3.843001e-04,3.241439e-01,2.989845e-02,1.314340e-02,9.367157e-02,8.075282e-03,1.208632e-01,1.603726e-02,5.773806e-02,2.923902e-02
15,6,2.972391e-02,3.123680e-03,6.646099e-04,3.171804e-03,8.207863e-04,6.183634e-04,3.901858e-01,5.725304e-02,2.872498e-02,7.617887e-02,8.128958e-03,5.455920e-02,1.433612e-02,2.313700e-02,2.152703e-02
