case,sec,it,opticalDepth,albedo
1,1386.0,28390.0,2.0,0.1
6,739.0,16243.0,4.0,0.1
11,436.0,9576.0,6.0,0.1
16,298.0,6133.0,8.0,0.1
21,153.0,3082.0,12.0,0.1
26,61.0,1256.0,20.0,0.1
31,30.0,641.0,30.0,0.1
2,1515.0,31007.0,2.0,0.4
7,962.0,20025.0,4.0,0.4
12,620.0,12685.0,6.0,0.4
17,414.0,8438.0,8.0,0.4
22,213.0,4374.0,12.0,0.4
27,82.0,1792.0,20.0,0.4
32,42.0,889.0,30.0,0.4
3,1673.0,34171.0,2.0,0.7
8,1189.0,26188.0,4.0,0.7
13,927.0,18920.0,6.0,0.7
18,669.0,13680.0,8.0,0.7
23,377.0,7709.0,12.0,0.7
28,162.0,3296.0,20.0,0.7
33,80.0,1615.0,30.0,0.7
4,1789.0,36675.0,2.0,0.9
9,1502.0,33045.0,4.0,0.9
14,1311.0,28390.0,6.0,0.9
19,1157.0,23742.0,8.0,0.9
24,791.0,16243.0,12.0,0.9
29,393.0,8180.0,20.0,0.9
34,194.0,4225.0,30.0,0.9
5,1863.0,38074.0,2.0,1.0
10,1821.0,38074.0,4.0,1.0
15,1861.0,38074.0,6.0,1.0
20,1734.0,38074.0,8.0,1.0
25,1906.0,38074.0,12.0,1.0
30,1725.0,38074.0,20.0,1.0
35,1864.0,38074.0,30.0,1.0
99,99.0,99.0,99.0,1.9
