case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,absP11,absP12,absP13,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMa2Normalized,absMa3Normalized,absMe1Normalized,absMe2Normalized,absMe3Normalized,absP11Normalized,absP12Normalized,absP13Normalized
1,2,2.729905e-02,3.836363e-03,1.035505e-03,9.815405e-03,2.419032e-03,1.853177e-03,2.165022e-02,3.794935e-02,3.545953e-02,1.486696e-01,1.640314e-02,7.078729e-03,1.836222e-01,2.338798e-01,1.462840e-01,6.602159e-02,1.474737e-01,2.617951e-01,1.456264e-01,2.313542e+00,5.009307e+00
2,2,2.596513e-02,3.768392e-03,9.876102e-04,1.020730e-02,2.532803e-03,1.965228e-03,1.035895e-02,2.618277e-03,2.048626e-03,1.642717e-01,2.134069e-02,9.820652e-03,1.580621e-01,1.765825e-01,1.005646e-01,6.213666e-02,1.186842e-01,2.001117e-01,6.305987e-02,1.226894e-01,2.086039e-01
3,2,2.429925e-02,3.509191e-03,8.439726e-04,1.068557e-02,2.663943e-03,2.087765e-03,3.559437e-02,5.160700e-02,4.794983e-02,1.847299e-01,2.914876e-02,1.442369e-02,1.315393e-01,1.203890e-01,5.851295e-02,5.784426e-02,9.139128e-02,1.447456e-01,1.926833e-01,1.770470e+00,3.324380e+00
4,2,2.292101e-02,3.141964e-03,7.051917e-04,1.108108e-02,2.773298e-03,2.172862e-03,4.269560e-02,5.849342e-02,5.447563e-02,2.029884e-01,3.732044e-02,1.952027e-02,1.129178e-01,8.418884e-02,3.612613e-02,5.458972e-02,7.431043e-02,1.113131e-01,2.103352e-01,1.567329e+00,2.790722e+00
5,2,2.213767e-02,2.870201e-03,6.960777e-04,1.129443e-02,2.839170e-03,2.216263e-03,4.694682e-02,6.264660e-02,5.848531e-02,2.143693e-01,4.295474e-02,2.317320e-02,1.032689e-01,6.681920e-02,3.003805e-02,5.268677e-02,6.609676e-02,9.563908e-02,2.189997e-01,1.458433e+00,2.523834e+00
6,4,2.601703e-02,2.233393e-03,4.407163e-04,7.170700e-03,1.407101e-03,7.509532e-04,1.106560e-02,2.814383e-02,2.695721e-02,1.055835e-01,8.320422e-03,2.829774e-03,2.464120e-01,2.684231e-01,1.557426e-01,6.791499e-02,1.691142e-01,2.653757e-01,1.048043e-01,3.382500e+00,9.526279e+00
7,4,2.486339e-02,2.480878e-03,5.308653e-04,7.650860e-03,1.520191e-03,8.361973e-04,7.805432e-03,1.617952e-03,9.039310e-04,1.245153e-01,1.261907e-02,4.742710e-03,1.996815e-01,1.965976e-01,1.119329e-01,6.144515e-02,1.204677e-01,1.763121e-01,6.268654e-02,1.282148e-01,1.905938e-01
8,4,2.294469e-02,2.630958e-03,5.772973e-04,8.348820e-03,1.664529e-03,9.406396e-04,9.242886e-03,1.908800e-03,1.133931e-03,1.535983e-01,2.153704e-02,9.239736e-03,1.493811e-01,1.221597e-01,6.247984e-02,5.435489e-02,7.728681e-02,1.018037e-01,6.017569e-02,8.862870e-02,1.227234e-01
9,4,2.088817e-02,2.438459e-03,5.193020e-04,9.056691e-03,1.804484e-03,1.020861e-03,1.132020e-02,2.271803e-03,1.308364e-03,1.860276e-01,3.497150e-02,1.689019e-02,1.122853e-01,6.972703e-02,3.074577e-02,4.868466e-02,5.159869e-02,6.044105e-02,6.085225e-02,6.496155e-02,7.746296e-02
10,4,1.939732e-02,2.061863e-03,6.480925e-04,9.545172e-03,1.930493e-03,1.068420e-03,4.917582e-02,6.631948e-02,6.113022e-02,2.118025e-01,4.820453e-02,2.502171e-02,9.158209e-02,4.277321e-02,2.590120e-02,4.506637e-02,4.004796e-02,4.269971e-02,2.321777e-01,1.375794e+00,2.443087e+00
11,6,2.356453e-02,1.159906e-03,1.407733e-04,5.306026e-03,8.650077e-04,3.198885e-04,5.193907e-03,8.437570e-04,2.997483e-04,8.034533e-02,4.523991e-03,1.200759e-03,2.932906e-01,2.563899e-01,1.172369e-01,6.604025e-02,1.912046e-01,2.664052e-01,6.464479e-02,1.865072e-01,2.496324e-01
12,6,2.287094e-02,1.454586e-03,2.198883e-04,5.746926e-03,9.624230e-04,3.725402e-04,5.857706e-03,1.036634e-03,4.058210e-04,9.955028e-02,7.615836e-03,2.291981e-03,2.297426e-01,1.909949e-01,9.593809e-02,5.772887e-02,1.263713e-01,1.625407e-01,5.884169e-02,1.361155e-01,1.770613e-01
13,6,2.130169e-02,1.803493e-03,3.339896e-04,6.541181e-03,1.098253e-03,4.470108e-04,2.186432e-02,4.081979e-02,3.798191e-02,1.318258e-01,1.533784e-02,5.547654e-03,1.615896e-01,1.175845e-01,6.020376e-02,4.961986e-02,7.160415e-02,8.057655e-02,1.658576e-01,2.661378e+00,6.846480e+00
14,6,1.906962e-02,1.887206e-03,3.893627e-04,7.548060e-03,1.256644e-03,5.231589e-04,3.749935e-02,5.619237e-02,5.133767e-02,1.737694e-01,3.063711e-02,1.338742e-02,1.097409e-01,6.159870e-02,2.908422e-02,4.343721e-02,4.101703e-02,3.907839e-02,2.157995e-01,1.834127e+00,3.834769e+00
15,6,1.702193e-02,1.557218e-03,6.620997e-04,8.403951e-03,1.467667e-03,6.174550e-04,5.178370e-02,6.971554e-02,6.331276e-02,2.158574e-01,5.179687e-02,2.579456e-02,7.885732e-02,3.006395e-02,2.566819e-02,3.893289e-02,2.833506e-02,2.393741e-02,2.398978e-01,1.345941e+00,2.454501e+00
16,8,2.090060e-02,5.765710e-04,3.779602e-05,3.977133e-03,5.477805e-04,1.411912e-04,3.821545e-03,1.878146e-02,1.860884e-02,6.359140e-02,2.581388e-03,5.328154e-04,3.286703e-01,2.233570e-01,7.093643e-02,6.254198e-02,2.122039e-01,2.649909e-01,6.009531e-02,7.275721e+00,3.492549e+01
17,8,2.069071e-02,8.180572e-04,7.925136e-05,4.326276e-03,6.272029e-04,1.712035e-04,7.725276e-03,2.494912e-02,2.415610e-02,8.194136e-02,4.706320e-03,1.121825e-03,2.525063e-01,1.738210e-01,7.064501e-02,5.279722e-02,1.332682e-01,1.526115e-01,9.427810e-02,5.301195e+00,2.153285e+01
