case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,absP11,absP12,absP13,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMa2Normalized,absMa3Normalized,absMe1Normalized,absMe2Normalized,absMe3Normalized,absP11Normalized,absP12Normalized,absP13Normalized
1,2,1.179650e-01,1.060458e-01,8.027098e-02,1.726595e-03,1.478822e-03,1.416694e-03,1.651447e-03,1.394228e-03,1.352943e-03,4.561875e-01,4.541857e-01,4.521652e-01,2.585889e-01,2.334856e-01,1.775258e-01,3.784836e-03,3.255986e-03,3.133133e-03,3.620106e-03,3.069730e-03,2.992143e-03
2,2,1.164217e-01,1.037711e-01,7.843996e-02,1.557364e-03,9.325732e-04,1.103136e-03,3.451466e-03,2.793433e-03,2.467218e-03,5.722857e-01,5.637768e-01,5.469011e-01,2.034329e-01,1.840642e-01,1.434262e-01,2.721305e-03,1.654153e-03,2.017066e-03,6.031019e-03,4.954857e-03,4.511270e-03
3,2,1.121461e-01,9.988979e-02,7.589413e-02,1.946614e-03,1.130102e-03,9.969035e-04,7.234858e-03,6.081403e-03,5.650659e-03,7.570159e-01,7.309264e-01,6.910288e-01,1.481423e-01,1.366619e-01,1.098277e-01,2.571430e-03,1.546122e-03,1.442637e-03,9.557076e-03,8.320131e-03,8.177169e-03
4,2,1.068101e-01,9.568373e-02,7.541384e-02,2.395806e-03,1.298440e-03,1.410416e-03,1.193188e-02,1.049730e-02,8.920826e-03,9.531884e-01,9.084179e-01,8.381370e-01,1.120556e-01,1.053301e-01,8.997794e-02,2.513465e-03,1.429342e-03,1.682799e-03,1.251786e-02,1.155558e-02,1.064364e-02
5,2,1.036276e-01,9.362723e-02,7.623699e-02,3.159212e-03,1.486734e-03,1.595098e-03,1.592504e-02,1.408887e-02,1.146819e-02,1.090762e+00,1.031777e+00,9.393561e-01,9.500479e-02,9.074370e-02,8.115878e-02,2.896335e-03,1.440945e-03,1.698076e-03,1.459992e-02,1.365496e-02,1.220857e-02
6,4,8.748187e-02,8.298150e-02,6.795648e-02,1.610666e-03,1.411213e-03,1.292536e-03,1.441631e-03,1.166206e-03,1.047273e-03,2.551079e-01,2.556921e-01,2.541281e-01,3.429211e-01,3.245368e-01,2.674103e-01,6.313667e-03,5.519190e-03,5.086160e-03,5.651064e-03,4.560977e-03,4.121045e-03
7,4,9.108864e-02,8.488101e-02,6.739932e-02,1.808785e-03,1.516194e-03,1.286791e-03,3.204749e-03,2.769014e-03,2.434706e-03,3.488650e-01,3.432224e-01,3.315405e-01,2.611000e-01,2.473061e-01,2.032913e-01,5.184770e-03,4.417527e-03,3.881247e-03,9.186214e-03,8.067696e-03,7.343615e-03
8,4,9.215305e-02,8.400002e-02,6.460086e-02,2.157771e-03,1.627491e-03,1.396890e-03,7.066596e-03,6.251406e-03,5.662111e-03,5.425762e-01,5.196435e-01,4.795799e-01,1.698435e-01,1.616493e-01,1.347030e-01,3.976899e-03,3.131938e-03,2.912736e-03,1.302415e-02,1.203018e-02,1.180640e-02
9,4,8.738667e-02,7.871433e-02,6.077469e-02,2.930572e-03,2.003618e-03,1.701493e-03,1.277847e-02,1.142665e-02,9.734909e-03,8.408514e-01,7.824419e-01,6.897925e-01,1.039264e-01,1.006009e-01,8.810577e-02,3.485244e-03,2.560724e-03,2.466673e-03,1.519706e-02,1.460383e-02,1.411281e-02
10,4,8.049962e-02,7.366492e-02,6.028980e-02,3.589038e-03,2.355164e-03,1.995448e-03,2.280359e-02,1.918785e-02,1.399198e-02,1.142746e+00,1.042074e+00,8.913436e-01,7.044400e-02,7.069068e-02,6.763923e-02,3.140713e-03,2.260074e-03,2.238697e-03,1.995508e-02,1.841313e-02,1.569763e-02
