case,mu_t,absMa1,absMa2,absMa3,absMe1,absMe2,absMe3,absP11,absP12,absP13,totalEnergy1,totalEnergy2,totalEnergy3,absMa1Normalized,absMa2Normalized,absMa3Normalized,absMe1Normalized,absMe2Normalized,absMe3Normalized,absP11Normalized,absP12Normalized,absP13Normalized
1,2,7.690041e-02,6.814707e-02,4.886917e-02,1.725317e-02,1.541252e-02,1.343585e-02,1.757741e-02,1.568740e-02,1.365707e-02,3.743460e-01,3.536456e-01,3.163945e-01,2.054260e-01,1.926988e-01,1.544564e-01,4.608884e-02,4.358183e-02,4.246550e-02,4.695498e-02,4.435909e-02,4.316467e-02
2,2,7.368979e-02,6.443933e-02,4.477381e-02,1.931936e-02,1.752100e-02,1.523772e-02,2.085589e-02,1.862054e-02,1.606003e-02,4.627392e-01,4.329211e-01,3.823536e-01,1.592469e-01,1.488477e-01,1.171005e-01,4.175001e-02,4.047158e-02,3.985243e-02,4.507052e-02,4.301140e-02,4.200308e-02
3,2,6.705953e-02,5.769200e-02,3.893440e-02,2.252046e-02,2.066458e-02,1.798685e-02,2.646854e-02,2.357020e-02,2.004425e-02,6.013732e-01,5.562369e-01,4.840055e-01,1.115107e-01,1.037184e-01,8.044207e-02,3.744840e-02,3.715068e-02,3.716249e-02,4.401350e-02,4.237439e-02,4.141328e-02
4,2,5.914246e-02,5.045402e-02,3.460295e-02,2.565387e-02,2.388415e-02,2.034775e-02,3.294312e-02,2.934326e-02,2.402104e-02,7.460153e-01,6.842290e-01,5.860852e-01,7.927781e-02,7.373850e-02,5.904082e-02,3.438786e-02,3.490666e-02,3.471807e-02,4.415877e-02,4.288515e-02,4.098558e-02
5,2,5.334058e-02,4.602612e-02,3.253154e-02,2.807035e-02,2.596780e-02,2.224299e-02,3.817710e-02,3.354659e-02,2.725365e-02,8.495687e-01,7.718853e-01,6.570195e-01,6.278548e-02,5.962818e-02,4.951381e-02,3.304071e-02,3.364204e-02,3.385439e-02,4.493704e-02,4.346059e-02,4.148074e-02
6,4,5.939815e-02,5.630025e-02,4.549244e-02,9.385119e-03,8.931466e-03,7.729264e-03,9.717276e-03,9.240818e-03,8.002353e-03,2.121213e-01,2.034531e-01,1.845819e-01,2.800198e-01,2.767235e-01,2.464621e-01,4.424412e-02,4.389938e-02,4.187444e-02,4.581000e-02,4.541989e-02,4.335395e-02
7,4,6.022351e-02,5.594130e-02,4.343052e-02,1.176467e-02,1.114666e-02,9.660882e-03,1.278181e-02,1.197125e-02,1.018975e-02,2.884617e-01,2.729705e-01,2.418634e-01,2.087747e-01,2.049353e-01,1.795663e-01,4.078417e-02,4.083465e-02,3.994355e-02,4.431024e-02,4.385548e-02,4.213020e-02
8,4,5.850285e-02,5.263420e-02,3.827165e-02,1.580682e-02,1.496889e-02,1.301981e-02,1.888362e-02,1.743627e-02,1.460242e-02,4.408660e-01,4.081689e-01,3.507102e-01,1.326998e-01,1.289520e-01,1.091262e-01,3.585403e-02,3.667328e-02,3.712414e-02,4.283302e-02,4.271826e-02,4.163672e-02
9,4,5.116960e-02,4.481691e-02,3.101795e-02,2.149382e-02,2.008735e-02,1.718437e-02,2.916971e-02,2.614453e-02,2.089970e-02,6.704459e-01,6.060886e-01,5.043157e-01,7.632175e-02,7.394448e-02,6.150502e-02,3.205900e-02,3.314259e-02,3.407463e-02,4.350792e-02,4.313649e-02,4.144169e-02
10,4,4.180041e-02,3.661000e-02,2.649010e-02,2.689163e-02,2.489855e-02,2.107674e-02,4.113513e-02,3.586962e-02,2.747355e-02,8.973578e-01,7.984256e-01,6.517393e-01,4.658165e-02,4.585273e-02,4.064524e-02,2.996757e-02,3.118456e-02,3.233922e-02,4.584028e-02,4.492544e-02,4.215420e-02
11,6,4.620991e-02,4.517426e-02,3.977241e-02,5.593550e-03,5.476001e-03,4.708605e-03,5.961086e-03,5.831543e-03,5.039518e-03,1.360761e-01,1.329649e-01,1.223689e-01,3.395888e-01,3.397458e-01,3.250206e-01,4.110604e-02,4.118381e-02,3.847877e-02,4.380701e-02,4.385777e-02,4.118300e-02
12,6,4.832618e-02,4.668562e-02,3.941081e-02,7.547643e-03,7.308365e-03,6.458823e-03,8.127007e-03,7.852295e-03,6.769363e-03,1.932619e-01,1.859926e-01,1.674192e-01,2.500554e-01,2.510080e-01,2.354019e-01,3.905397e-02,3.929385e-02,3.857874e-02,4.205179e-02,4.221832e-02,4.043360e-02
13,6,4.932442e-02,4.621054e-02,3.633912e-02,1.172348e-02,1.127241e-02,9.900947e-03,1.348520e-02,1.287056e-02,1.087443e-02,3.252887e-01,3.050509e-01,2.633115e-01,1.516328e-01,1.514847e-01,1.380081e-01,3.604022e-02,3.695255e-02,3.760164e-02,4.145609e-02,4.219153e-02,4.129872e-02
14,6,4.541852e-02,4.079527e-02,2.935556e-02,1.846926e-02,1.728014e-02,1.488972e-02,2.405805e-02,2.206106e-02,1.777227e-02,5.770624e-01,5.222609e-01,4.297814e-01,7.870642e-02,7.811283e-02,6.830346e-02,3.200566e-02,3.308719e-02,3.464486e-02,4.169055e-02,4.224145e-02,4.135188e-02
